item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q100205,Jakob Graf zu Eltz,NormalRank,Q508414,Kleinheubach,true,true,true,true,false,false,false
Q100205,Jakob Graf zu Eltz,NormalRank,Q508414,Kleinheubach,true,true,true,false,false,false,true
Q100255,Paul Schäfer,NormalRank,Q1720,Mainz,true,true,false,,,,
Q1008528,Tamás Gaudi-Nagy,NormalRank,Q1781,Budapest,true,true,false,,,,
Q1010588,Giorgi Baramidze,NormalRank,Q994,Tbilisi,true,true,false,,,,
Q101439000,Tatyana Popova,,,,,,false,,,,
Q101537534,Pedro Cegonho,NormalRank,Q273877,Santarém,true,true,true,false,true,false,false
Q101584344,Isabel Meireles,,,,,,false,,,,
Q101617629,Paulo Moniz,,,,,,false,,,,
Q1016541,Burkhardt Müller-Sönksen,NormalRank,Q514493,Otterndorf,true,true,true,false,false,false,true
Q101760216,Isabel Rodrigues,,,,,,false,,,,
Q101967,Monika Brüning,NormalRank,Q24879,Bremen,true,true,true,false,false,false,true
Q101987,Christine Lucyga,NormalRank,Q110011,Kołobrzeg,true,true,true,false,false,false,true
Q102432,Carl-August Fleischhauer,NormalRank,Q1718,Düsseldorf,true,true,true,true,false,false,false
Q10281462,Fernando Negrão,NormalRank,Q2826232,Portuguese Angola,true,false,true,false,false,false,true
Q10294464,Helena Roseta,NormalRank,Q597,Lisbon,true,true,false,,,,
Q10299830,Idália Serrão,NormalRank,Q597,Lisbon,true,true,false,,,,
Q10308054,Jorge Bacelar Gouveia,NormalRank,Q597,Lisbon,true,true,false,,,,
Q10309850,José Luís del Roio,NormalRank,Q174,São Paulo,true,true,true,false,false,false,true
Q10309889,José Manuel Pureza,NormalRank,Q45412,Coimbra,true,true,false,,,,
Q10310204,José Niza,NormalRank,Q597,Lisbon,true,true,false,,,,
Q103165,Gitta Connemann,NormalRank,Q15984,Leer,true,true,false,,,,
Q10318815,Lino de Carvalho,NormalRank,Q206933,Leiria,true,true,false,,,,
Q10338219,Nuno Melo,NormalRank,Q551658,Vila Nova de Famalicão,true,true,true,false,false,false,true
Q10347467,Pedro Filipe Soares,,,,,,false,,,,
Q10347591,Pedro Manuel da Cruz Roseta,NormalRank,Q849026,Covilhã,true,true,true,false,false,false,true
Q10361221,Ricardo Rodrigues,NormalRank,Q369631,São José,true,true,true,false,true,false,false
Q10389774,José Vera Jardim,NormalRank,Q990365,Ponte de Sor,true,true,true,false,false,false,true
Q10465190,Tom Coxon,NormalRank,Q1575653,Hanley,true,true,true,false,false,false,true
Q10519965,Josip Bilaver,NormalRank,Q3370,Zadar,true,true,true,false,false,false,true
Q1055212,Demetrio Volcic,NormalRank,Q437,Ljubljana,true,true,true,false,false,false,true
Q105884,Rudolf Bindig,NormalRank,Q3896,Goslar,true,true,true,true,false,false,false
Q1063232,Haris Kastanidis,NormalRank,Q17151,Thessaloniki,true,true,true,false,false,false,true
Q106497,Hüseyin Kenan Aydın,NormalRank,Q1023268,Pülümür,true,true,false,,,,
Q106498,Hakkı Keskin,NormalRank,Q938562,Maçka,true,true,false,,,,
Q106499,Leyla Onur,NormalRank,Q2773,Brunswick,true,true,false,,,,
Q106978065,Catarina Rocha Ferreira,,,,,,false,,,,
Q107121442,Mara Lagriminha,NormalRank,Q1000052,Coruche,true,true,true,false,true,false,false
Q107124509,Mónica Quintela,,,,,,false,,,,
Q107126993,Nuno Fazenda,,,,,,false,,,,
Q10769543,Alena Palečková,NormalRank,Q1085,Prague,true,true,true,true,false,false,false
Q10769543,Alena Palečková,NormalRank,Q1085,Prague,true,true,true,false,false,false,true
Q1078121,Christa Lörcher,NormalRank,Q305067,Gniew,true,true,true,false,false,false,true
Q1082006,Christian Sterzing,NormalRank,Q2805,Krefeld,true,true,true,true,false,false,false
Q1082481,Per-Kristian Foss,NormalRank,Q585,Oslo,true,true,true,false,true,false,false
Q1083717,Christine Muttonen,NormalRank,Q485294,Leoben,true,true,false,,,,
Q10839149,Walter Bartoš,NormalRank,Q321778,Hodonín,true,true,true,true,true,false,false
Q1085077,Christoph Hagen,NormalRank,Q699781,Lauterach,true,true,false,,,,
Q10853483,Anna Čurdová,NormalRank,Q927541,Hořice,true,true,true,true,false,false,false
Q10853676,Marie Krarup,NormalRank,Q99051389,Seem,true,true,true,true,true,false,false
Q10853815,Mirando Mrsić,NormalRank,Q1663,Split,true,true,true,false,false,false,true
Q10857826,Zdeňka Horníková,NormalRank,Q591823,Náchod,true,true,false,,,,
Q1085954,Christoph Strässer,NormalRank,Q3840,Velbert,true,true,false,,,,
Q1091143,Anastasios Papaligouras,NormalRank,Q1524,Athens,true,true,false,,,,
Q109362,Niels Annen,NormalRank,Q1611,Eimsbüttel,true,true,true,false,false,false,true
Q10949778,Fernando Maura,NormalRank,Q8692,Bilbao,true,true,true,false,false,false,true
Q1097212,Vincenzo Bianchini,NormalRank,Q13395,Viterbo,true,true,true,false,false,false,true
Q10985643,Humfrey Malins,NormalRank,Q175632,Nuneaton,true,true,true,false,false,false,true
Q11011361,Nazim Ibrahimov,NormalRank,Q230104,Nakhchivan,true,true,true,false,false,false,true
