item,itemLabel,itemDescription,jurisdiction,jurisdictionLabel,began,ended,type
Q110275928,Shafie cabinet,,,,,,cabinet
Q89269309,Ntsay Cabinet,,,,2018-06-04,,
Q56179236,Imran Khan ministry,"government of Pakistan, 2018–2022",,,2018-08-20,2022-04-09,cabinet
Q53646050,Second Sezh Sargsyan government,government of Armenia,Q399,Armenia,2018-04-17,2018-04-23,cabinet
Q53579021,1st Pashinyan government,first Pashinyan government prime minister,Q399,Armenia,2018-05-12,2019-01-14,cabinet
Q56254898,First Morrison Ministry,First Australian government ministry led by Scott Morrison,Q408,Australia,2018-08-24,2019-05-29,cabinet
Q65279005,Asadov Cabinet,Council of Ministers of Azerbaijan led by Ali Asadov,Q227,Azerbaijan,2018-04-01,,cabinet
Q50743682,Cabinet Söder I,government of Bavaria March-November 2018,Q980,Bavaria,2018-03-21,2018-11-06,cabinet
Q58212488,Cabinet Söder II,government of Bavaria since 2018,Q980,Bavaria,2018-11-06,,cabinet
Q59582476,Michel II Government,Belgian federal government (2018-2019),Q31,Belgium,2018-12-09,2019-10-27,cabinet
Q100711810,cabinet of ministers of Jair Bolsonaro,Cabinet of Ministers of President Jair Bolsonaro (2019 - 2023),Q155,Brazil,2019-01-01,2023-01-01,cabinet
Q53467272,Torra Government,"Catalonian regional government, 2018-2021",Q5705,Catalonia,2018-05-29,2021-05-26,cabinet
Q60034431,Bhupesh Baghel ministry,Ministers in Government of Chhattisgarh headed by Chief Minister Bhupesh Baghel,Q1168,Chhattisgarh,2018-12-17,,cabinet
Q54670563,Garrido Government,,Q5756,Community of Madrid,2018-05-01,2019-08-01,cabinet
Q54670563,Garrido Government,,Q5756,Community of Madrid,2018-05-01,2019-08-20,cabinet
Q54670563,Garrido Government,,Q5756,Community of Madrid,2018-05-22,2019-08-01,cabinet
Q54670563,Garrido Government,,Q5756,Community of Madrid,2018-05-22,2019-08-20,cabinet
Q50083161,Second Anastasiades government,Cypriot presidential administration between 2018-2023,Q229,Cyprus,2018-03-01,2023-02-28,cabinet
Q55224909,Andrej Babiš' Second Cabinet,governing body of the Czech Republic,Q213,Czech Republic,2018-06-27,2021-12-17,cabinet
Q54819597,VIII Constitutional Government of East Timor,East Timorese cabinet led by Taur Matan Ruak,Q574,East Timor,2018-06-22,,cabinet
Q54869459,Moustafa Madbouly Ministry,,Q79,Egypt,2018-06-14,,cabinet
Q56064379,Cabinet of Mamuka Bakhtadze,,Q230,Georgia,2018-06-20,2019-09-02,cabinet
Q48055676,Fourth Merkel cabinet,German government,Q183,Germany,2018-03-14,2021-12-08,cabinet
Q95736906,Kielsen VI Cabinet,Government of Greenland,Q223,Greenland,2018-10-05,2019-04-09,cabinet
Q60747425,Kielsen V Cabinet,Government of Greenland,Q223,Greenland,2019-04-09,2020-05-29,cabinet
Q96385892,Kielsen VII Cabinet,Government of Greenland (2020–2021),Q223,Greenland,2020-05-29,2021-02-08,cabinet
Q105834380,Kielsen VIII Cabinet,Government of Greenland (2021),Q223,Greenland,2021-02-08,2021-04-23,cabinet
Q51077569,Senate Tschentscher,"cabinet of the government of the free city and state of Hamburg, Germany",Q1055,Hamburg,,,cabinet
Q52225870,Fourth cabinet of Viktor Orbán,Government of Hungary (2018-2022),Q28,Hungary,2018-05-18,2022-05-23,cabinet
Q57899413,Abdul Mahdi Government,former government of Iraq (2018–2020),Q796,Iraq,2018-10-24,2020-05-07,cabinet
Q54557459,Conte I Cabinet,65th Government of the Italian Republic,Q38,Italy,2018-06-01,2019-09-05,cabinet
Q54869475,Omar Razzaz's Cabinet,,Q810,Jordan,2018-06-14,2020-10-12,cabinet
Q55074997,H. D. Kumaraswamy second ministry,Ministers in Government of Karnataka headed by Chief Minister H. D. Kumaraswamy (2018 - 2019),Q1185,Karnataka,2018-05-23,2019-07-23,cabinet
